,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,movies,,
,,,,
,,,,
,,,,
,,,,Comedy
,Seabiscuit (2003),,,
,The Color Purple (1985),,,
,Dead Poets Society (1989),,,
,Shane (1953),,,
,Rudy(1993),,,
,The Defiant One (1958),,,
,Ben-Hur (1959),,,
,Sergeant York (1941),,,
,Close Encounters of the Third Kind (1977),,,
,Dances with Wolves (1990),,,
,The Killing Fields (1984),,,
,Sounder (1972),,,
,Braveheart (1995),,,
,Rain Man (1988),,,
,The Black Stallion (1979),,,
,A Raisin in the Sun (1961),,,
,Silkwood (1983),,,
,The Day the Earth Stood Still (1951),,,
,An Officer and a Gentleman (1982),,,
,The Spirit of St. Louis (1957),,,
,Coal Miner's Daughter (1980),,,
,Cool Hand Luke (1967),,,
,Dark Victory (1939),,,
,Erin Brockovich (2000),,,
,Gunga Din (1939),,,
,The Verdict (1982),,,
,Birdman of Alcatraz (1962),,,
,Driving Miss Daisy(1989),,,
,Thelma and Louise (1991),,,
,The Ten Commandments (1956),,,
,Babe (1995),,,
,Boys Town (1938),,,
,Fiddler on the Roof (1971),,,
,"Mr. Deeds Goes to Town"" (1936)",,,
,Serpico (1973),,,
,What's Love Got to Do with It (1993),,,
,Stand and Deliver (1988),,,
,Working Girl (1988),,,
,Yankee Doodle Dandy (1942),,,
,Harold and Maude (1972),,,
,Hotel Rwanda (2004),,,
,The Paper Chase (1973),,,
,Fame (1980),,,
,A Beautiful Mind (2001),,,
,Captains Courageous (1937),,,
,Places in the Heart (1984),,,
,Searching for Bobby Fischer(1993),,,
,Madame Curie(1943),,,
,The Karate Kid (1984),,,
,Ray (2004),,,
,Chariots of Fire (1981),,,
"Action,Adventure",,,,
,Black Panther (2018),,,
,Mad Max: Fury Road (2015),,,
,Wonder Woman (2017),,,
,Metropolis (1927),,,
,Coco (2017),,,
,Dunkirk (2017),,,
,Incredibles 2 (2018),,,
,Star Wars: The Last Jedi (2017),,,
,Logan (2017),,,
,Star Wars: Episode VII - The Force Awakens (2015),,,
,King Kong (1933),,,
,The Adventures of Robin Hood (1938),,,
,Thor: Ragnarok (2017),,,
,Baby Driver (2017),,,
,Zootopia (2016),,,
,Seven Samurai (Shichinin no Samurai) (1956),,,
,Spider-Man: Homecoming (2017),,,
,Up (2009),,,
,The Jungle Book (2016),,,
,War for the Planet of the Apes (2017),,,
,The Treasure of the Sierra Madre (1948),,,
,Lawrence of Arabia (1962),,,
,The Dark Knight (2008),,,
,Captain America: Civil War (2016),,,
,Jaws (1975),,,
,Harry Potter and the Deathly Hallows - Part 2 (2011),,,
,The Hurt Locker (2009),,,
,Aliens (1986),,,
,The LEGO Movie (2014),,,
,Skyfall (2012),,,
,Ant-Man and the Wasp (2018),,,
,Star Wars: Episode IV - A New Hope (1977),,,
,WALL-E (2008),,,
,Moana (2016),,,
,The Searchers (1956),,,
,Star Trek (2009),,,
,Kubo and the Two Strings (2016),,,
,The 39 Steps (1935),,,
,Rio Bravo (1959),,,
,The Terminator (1984),,,
,Mission: Impossible Rogue Nation (2015),,,
